claim_id,product,claim_type,claim_summary,date_basis,evidence_strength,source_link,note
CLM-001,Devin,fact,"Free/Pro/Max/Teams pricing is public on official pricing and docs pages","2026-05-18","Tier 1","https://devin.ai/pricing","Teams starts at $80/month; full seats and flex seat model described in docs"
CLM-002,Devin,fact,"Cognition completed a $400M round at a reported $10.2B valuation","2025-09-08","Tier 2","https://www.cnbc.com/2025/09/08/cognition-valued-at-10point2-billion-two-months-after-windsurf-.html?msockid=3e17488da18d6fa81e495eefa0646ef8","Media report, not official filing"
CLM-003,Cursor,fact,"Cursor public pricing includes Pro $20/month and Teams $40/user/month","2026-05-18","Tier 1","https://cursor.com/pricing","Enterprise is custom"
CLM-004,Cursor,fact,"Cursor enterprise page claims 50,000+ businesses and 64% of Fortune 500 use Cursor","2026-05-18","Tier 1","https://cursor.com/en-US/enterprise","Official claim"
CLM-005,Windsurf,fact,"Windsurf public pricing includes Pro $20/month, Max $200/month and Teams $40/user/month","2026-05-18","Tier 1","https://windsurf.com/pricing","Enterprise custom"
CLM-006,Windsurf,fact,"Windsurf homepage claims 1M+ users and 4,000+ enterprise customers","2026-05-18","Tier 1","https://windsurf.com/","Official claim"
CLM-007,Augment,fact,"Augment public pricing starts at $20/month for Indie and $60/month for Standard","2026-05-18","Tier 1","https://www.augmentcode.com/pricing/","Enterprise custom"
CLM-008,Augment,fact,"TechCrunch reported Augment launched with $252M raised at roughly $977M post-money valuation","2024-04-24","Tier 2","https://techcrunch.com/2024/04/24/eric-schmidt-backed-augment-a-github-copilot-rival-launches-out-of-stealth-with-252m/","Media report"
CLM-009,Cline,fact,"Cline personal offering is free/open and enterprise offering emphasizes SSO, RBAC and observability","2026-05-18","Tier 1","https://cline.bot/pricing","Enterprise packaging is explicit even if enterprise price is custom"
CLM-010,Replit Agent,fact,"Replit pricing includes Core $20/month and Teams $35/user/month with Enterprise custom","2026-05-18","Tier 1","https://replit.com/pricing","Agent access is part of paid plans"
CLM-011,Replit Agent,fact,"Replit officially announced a $250M funding round and claims millions of users and 500,000+ professional users","2025-05-01","Tier 1","https://replit.com/news/funding-announcement","Official company statement"
CLM-012,Dify,fact,"Dify pricing includes Professional $59/workspace/month and Enterprise sales motion","2026-05-18","Tier 1","https://dify.ai/pricing","Self-host and enterprise paths are explicit"
CLM-013,Dify,fact,"Dify announced a $30M Pre-A round and states over a million apps are running on Dify","2026-03-10","Tier 1","https://dify.ai/blog/dify-raises-30m-tomorrow-s-organizations-will-be-built-by-people-and-agents","Official statement"
CLM-014,Dify,fact,"Dify announced renewed SOC 2 Type II, ISO 27001 and GDPR compliance","2026-04-17","Tier 1","https://dify.ai/blog/dify-achieves-soc-2-iso-27001-gdpr-compliance-for-the-second-year-running","Official compliance statement"
CLM-015,Lovable,fact,"Lovable pricing includes Pro $25/month and Business $50/month with Enterprise custom","2026-05-18","Tier 1","https://lovable.dev/pricing","Business includes more enterprise controls"
CLM-016,Lovable,fact,"Lovable announced $330M Series B at a $6.6B valuation","2025-12-18","Tier 1","https://lovable.dev/pt-br/blog/series-b","Official company statement"
CLM-017,Lovable,fact,"Lovable announced ARR milestones above $100M and later $200M with 10M+ projects","2025-07-23","Tier 1","https://lovable.dev/pt-br/blog/agent","Later anniversary post updates the numbers"
CLM-018,Trae,fact,"Trae public pricing is free for individuals and ¥49/¥99/¥199 per user per month for enterprise tiers","2026-05-18","Tier 1","https://www.trae.cn/pricing","1-seat starting point is explicit"
CLM-019,Trae,fact,"Official Volcano Engine materials state 6M+ registered users by 2025-12 and 1M+ monthly active users","2025-12-31","Tier 1","https://developer.volcengine.com/articles/7598407398764019721","Official ecosystem article"
CLM-020,Trae,fact,"Trae enterprise page advertises knowledge base, custom agents, model access, audit logs and VPC/private network options","2026-05-18","Tier 1","https://www.trae.cn/enterprise","Enterprise packaging is explicit"
CLM-021,通义灵码,fact,"Lingma pricing shows free individual base tier, enterprise standard ¥79/user/month and enterprise dedicated ¥159/user/month","2026-05-18","Tier 1","https://lingma.aliyun.com/pricing","Private deployment requires sales"
CLM-022,通义灵码,fact,"Official case pages claim service to over ten thousand enterprises and over one million developers","2026-05-18","Tier 1","https://lingma.aliyun.com/community/use-cases","Official case-library claim"
CLM-023,通义灵码,fact,"Alibaba help center says Lingma will be renamed Qoder CN on 2026-05-20","2026-05-18","Tier 1","https://help.aliyun.com/zh/lingma/","Brand continuity note"
CLM-024,文心快码,fact,"Comate public pricing shows free individual standard tier, ¥100/month individual professional, and enterprise tiers up to private deployment","2026-05-18","Tier 1","https://comate.baidu.com/docs/%E4%BA%A7%E5%93%81%E5%AE%9A%E4%BB%B7/%E4%BA%A7%E5%93%81%E5%AE%9A%E4%BB%B7.html","Pricing doc is official"
CLM-025,文心快码,fact,"Baidu states Wenkuaima has served 10M+ developers and 10,000+ enterprises","2025-08-12","Tier 1","https://cloud.baidu.com/article/3790485","Official statement"
CLM-026,OpenHands,inference,"OpenHands should productize enterprise controls and ROI proof instead of competing on benchmark narrative alone","2026-05-18","Tier 1+2","https://www.trae.cn/enterprise","Synthesis across multiple products"
CLM-027,Continue,fact,"Continue public pricing is $3 per million tokens for Starter and $20 per seat per month for Team","2026-05-19","Tier 1","https://www.continue.dev/pricing","Company pricing is custom"
CLM-028,Continue,fact,"Continue VS Code extension has over 3 million installs","2026-05-19","Tier 1","https://marketplace.visualstudio.com/items?itemName=Continue.continue","Marketplace install count"
CLM-029,Aider,fact,"Aider is Apache-2.0 open source and relies on user-provided model/API keys rather than a public first-party SaaS seat price","2026-05-19","Tier 1","https://github.com/Aider-AI/aider","Commercial packaging is not public"
CLM-030,Aider,fact,"Aider homepage shows about 44K GitHub stars and 6.8M installs","2026-05-19","Tier 1","https://aider.chat/","Community adoption signal, not direct sales proof"
CLM-031,Manus,fact,"Manus public plans include Free, Pro and Team, with Pro from $20/month and Team from $20 per seat per month","2026-05-19","Tier 1","https://help.manus.im/en/articles/11711111-what-is-the-current-membership-pricing-for-manus","SSO is separately packaged"
CLM-032,Manus,fact,"Manus officially states ARR above $100M and revenue run-rate above $125M","2026-05-19","Tier 1","https://manus.im/blog/manus-100m-arr","Official self-reported growth"
CLM-033,Bolt,fact,"Bolt public pricing includes Pro $25/month and Teams $30 per user per month with Enterprise custom pricing","2026-05-19","Tier 1","https://bolt.new/pricing?country=166","Enterprise features are explicit"
CLM-034,Bolt,fact,"Bolt enterprise materials show Microsoft Marketplace distribution, enterprise security packaging and a named Digital Virgo case","2026-05-19","Tier 1","https://bolt.new/enterprise/","Packaging is strong; broad financial transparency is weaker"
CLM-035,CodeGeeX,fact,"CodeGeeX enterprise documentation clearly supports private deployment, enterprise management and knowledge base integration, but no public pricing page was found","2026-05-19","Tier 1","https://v4-enterprise.codegeex.cn/docs/guide/user_manual.html","Transparency gap"
CLM-036,MarsCode,fact,"MarsCode has effectively been folded into Trae plugin branding and no longer presents a clearly independent commercial SKU","2026-05-19","Tier 1","https://developer.volcengine.com/articles/7496711867822243881","Useful as historical entry strategy, weak as standalone product comparison"
